s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
1837.6408296,522.3421726,1535.6642101,-1.4838065,-0.0003035,60.2667747976489,0.771040305050114
1839.6404388,524.3342876,1535.8373384,-1.4844056,-0.0002957,60.2922005332405,0.766474926691284
1841.640048,526.3264898,1536.0092873,-1.4849893,-0.0002881,60.3175387368456,0.764157849038486
1843.6396571,528.3187763,1536.1800872,-1.485558,-0.0002807,60.3427938764762,0.761972314494017
1845.6392663,530.3111854,1536.3497709,-1.4861122,-0.0002736,60.3678875444122,0.757416438147811
1847.6388755,532.3036742,1536.5183634,-1.4866522,-0.0002667,60.3928942798015,0.755105776791133
1849.6384846,534.2962408,1536.6858924,-1.4871787,-0.0002599,60.4178183508397,0.752920854326355
1851.6380938,536.2889165,1536.8523875,-1.487692,-0.0002535,60.4425821501474,0.748386910364767
1853.637703,538.2816656,1537.0178716,-1.4881925,-0.0002472,60.4672596156209,0.746082895992655
1855.6373122,540.2744874,1537.1823699,-1.4886807,-0.0002411,60.491855116353,0.743907858331817
1857.6369213,542.2674052,1537.3459086,-1.489157,-0.0002353,60.516291544772,0.739396243498271
1859.6365305,544.2603914,1537.5085089,-1.4896219,-0.0002297,60.5406422380505,0.737099095106557
1861.6361397,546.2534464,1537.6701933,-1.4900757,-0.0002242,60.5649116661823,0.734934240361161
1863.6357489,548.2465848,1537.8309847,-1.4905189,-0.0002191,60.5890235214033,0.730454266937784
1865.635358,550.2397877,1537.9909024,-1.490952,-0.0002141,60.6130503396239,0.728167369468719
1867.6349672,552.2330568,1538.1499665,-1.4913753,-0.0002093,60.6369965921005,0.726012922080351
1869.6345764,554.226397,1538.3081966,-1.4917893,-0.0002048,60.6607867710531,0.721564986989438
1871.6341855,556.2197988,1538.4656101,-1.4921944,-0.0002005,60.6844927111246,0.719291566376319
1873.6337947,558.2132655,1538.6222246,-1.4925911,-0.0001963,60.7081186846607,0.717144786171718
1875.6334039,560.2067909,1538.7780562,-1.4929798,-0.0001924,60.7315903842229,0.712738360620197
1877.6330131,562.2003764,1538.9331207,-1.4933608,-0.0001887,60.754978542467,0.710475601580812
1879.6326222,564.1940266,1539.0874332,-1.4937347,-0.0001852,60.7782876335478,0.708345938875665
1881.6322314,566.1877233,1539.2410064,-1.4941019,-0.000182,60.8014440496539,0.70397527099943
1883.6318406,568.1814794,1539.3938541,-1.4944627,-0.0001789,60.8245177223408,0.701726525400327
1885.6314497,570.1753015,1539.5459894,-1.4948173,-0.0001758,60.8475131270416,0.69961113653631
1887.6310589,572.1691575,1539.6974216,-1.4951669,-0.0001739,60.8703576559298,0.695282712069029
1889.6306681,574.1630735,1539.8481619,-1.4955107,-0.0001683,60.8931201389188,0.693045194028025
1891.6302773,576.1570569,1539.9982329,-1.4958384,-0.0001597,60.9158054532627,0.690953454043385
1893.6298864,578.1510586,1540.1476616,-1.4961547,-0.0001566,60.9383413904036,0.68665855581948
1895.6294956,580.1451209,1540.2964658,-1.4964674,-0.0001584,60.9607962796811,0.684441649751657
1897.6291048,582.1392512,1540.4446393,-1.4967903,-0.0001643,60.9831746991016,0.68236166555822
1899.628714,584.1333946,1540.5921596,-1.4971172,-0.0001626,61.0054055406288,0.678109701495643
1901.6283231,586.1276023,1540.7390327,-1.4974411,-0.0001617,61.0275563317702,0.675913770048093
1903.6279323,588.1218746,1540.885262,-1.4977642,-0.0001615,61.0496315518272,0.673851867271892
1905.6275415,590.1161623,1541.0308447,-1.4980874,-0.0001617,61.0715605929275,0.669631006338285
1907.6271506,592.110512,1541.1757834,-1.4984113,-0.0001626,61.0934104818161,0.667453214746647
1909.6267598,594.1049231,1541.3200748,-1.4987377,-0.0001639,61.1151853985553,0.665400519288808
1911.626369,596.0993548,1541.4637097,-1.4990681,-0.0001665,61.1368148357973,0.661189688160051
1913.6259782,598.093847,1541.6066812,-1.4994042,-0.0001701,61.1583654202389,0.659011923154735
1915.6255873,600.0883985,1541.748975,-1.4997487,-0.0001745,61.1798411325275,0.656953433006096
1917.6251965,602.0829791,1541.8905699,-1.5001043,-0.0001811,61.2011707656629,0.652713061766554
1919.6248057,604.077621,1542.031443,-1.5004737,-0.0001892,61.2224206477302,0.650498827416448
1921.6244149,606.072323,1542.1715619,-1.5008614,-0.0001986,61.2435947597854,0.648403981438111
1923.624024,608.0670668,1542.3108855,-1.5012714,-0.0002114,61.2646189948199,0.644036246793089
1925.6236332,610.0618765,1542.4493658,-1.5017081,-0.0002264,61.285560386267,0.641718211319317
1927.6232424,612.0567518,1542.5869428,-1.5021777,-0.0002434,61.3064230137939,0.639522684596647
1929.6228515,614.0516871,1542.7235456,-1.502686,-0.000265,61.3271261702105,0.634849469000254
1931.6224607,616.0466983,1542.8590911,-1.5032388,-0.0002892,61.3477393009731,0.632301812584845
1933.6220699,618.0417875,1542.9934826,-1.5038437,-0.000316,61.3682663812956,0.629873403637652
1935.6216791,620.0369606,1543.12661,-1.5045076,-0.000348,61.3886145041794,0.624590069171781
1937.6212882,622.0322267,1543.2583485,-1.5052369,-0.0003827,61.4088591372247,0.621618943611932
1939.6208974,624.0275901,1543.3885596,-1.5060394,-0.00042,61.4290045446936,0.618775612875618
1941.6205066,626.0230668,1543.5170922,-1.5069209,-0.0004618,61.4489388190802,0.612490340381655
